Model,Feature Set,F1-score (Mean ± Std),Accuracy (Mean ± Std),ROC-AUC (Mean ± Std),Precision (Mean ± Std),Recall (Mean ± Std)
RandomForest,repo_meta,0.691 ± 0.167,0.725 ± 0.149,0.755 ± 0.182,0.728 ± 0.172,0.662 ± 0.164
RandomForest,repo_activity,0.691 ± 0.167,0.725 ± 0.149,0.755 ± 0.182,0.728 ± 0.172,0.662 ± 0.164
RandomForest,dependency_only,0.691 ± 0.167,0.725 ± 0.149,0.755 ± 0.182,0.728 ± 0.172,0.662 ± 0.164
RandomForest,all_but_text,0.691 ± 0.167,0.725 ± 0.149,0.755 ± 0.182,0.728 ± 0.172,0.662 ± 0.164
RandomForest,full_features,0.691 ± 0.167,0.725 ± 0.149,0.755 ± 0.182,0.728 ± 0.172,0.662 ± 0.164
XGBoost,repo_meta,0.706 ± 0.246,0.742 ± 0.215,0.749 ± 0.213,0.727 ± 0.231,0.691 ± 0.257
XGBoost,repo_activity,0.706 ± 0.246,0.742 ± 0.215,0.749 ± 0.213,0.727 ± 0.231,0.691 ± 0.257
XGBoost,dependency_only,0.706 ± 0.246,0.742 ± 0.215,0.749 ± 0.213,0.727 ± 0.231,0.691 ± 0.257
XGBoost,all_but_text,0.706 ± 0.246,0.742 ± 0.215,0.749 ± 0.213,0.727 ± 0.231,0.691 ± 0.257
XGBoost,full_features,0.706 ± 0.246,0.742 ± 0.215,0.749 ± 0.213,0.727 ± 0.231,0.691 ± 0.257
SVM,repo_meta,0.116 ± 0.213,0.547 ± 0.036,0.566 ± 0.072,0.206 ± 0.262,0.102 ± 0.194
SVM,repo_activity,0.116 ± 0.213,0.547 ± 0.036,0.566 ± 0.072,0.206 ± 0.262,0.102 ± 0.194
SVM,dependency_only,0.116 ± 0.213,0.547 ± 0.036,0.566 ± 0.072,0.206 ± 0.262,0.102 ± 0.194
SVM,all_but_text,0.116 ± 0.213,0.547 ± 0.036,0.566 ± 0.072,0.206 ± 0.262,0.102 ± 0.194
SVM,full_features,0.116 ± 0.213,0.547 ± 0.036,0.566 ± 0.072,0.206 ± 0.262,0.102 ± 0.194
NaiveBayes,repo_meta,0.411 ± 0.119,0.580 ± 0.035,0.598 ± 0.015,0.660 ± 0.047,0.376 ± 0.096
NaiveBayes,repo_activity,0.411 ± 0.119,0.580 ± 0.035,0.598 ± 0.015,0.660 ± 0.047,0.376 ± 0.096
NaiveBayes,dependency_only,0.411 ± 0.119,0.580 ± 0.035,0.598 ± 0.015,0.660 ± 0.047,0.376 ± 0.096
NaiveBayes,all_but_text,0.411 ± 0.119,0.580 ± 0.035,0.598 ± 0.015,0.660 ± 0.047,0.376 ± 0.096
NaiveBayes,full_features,0.411 ± 0.119,0.580 ± 0.035,0.598 ± 0.015,0.660 ± 0.047,0.376 ± 0.096
LogisticRegression,repo_meta,0.597 ± 0.049,0.557 ± 0.075,0.624 ± 0.044,0.548 ± 0.070,0.727 ± 0.227
LogisticRegression,repo_activity,0.597 ± 0.049,0.557 ± 0.075,0.624 ± 0.044,0.548 ± 0.070,0.727 ± 0.227
LogisticRegression,dependency_only,0.597 ± 0.049,0.557 ± 0.075,0.624 ± 0.044,0.548 ± 0.070,0.727 ± 0.227
LogisticRegression,all_but_text,0.597 ± 0.049,0.557 ± 0.075,0.624 ± 0.044,0.548 ± 0.070,0.727 ± 0.227
LogisticRegression,full_features,0.597 ± 0.049,0.557 ± 0.075,0.624 ± 0.044,0.548 ± 0.070,0.727 ± 0.227
