totalIssues,openIssues,totalPullRequests,openPullRequests,commit_count,issue_count,network_count,subscribers_count,vp-category-equalfreq
30,3,30,0,343,128.0,4.0,43.0,0
30,19,30,3,145,95.0,30.0,14.0,1
30,31,30,1,535,253.0,134.0,5.0,0
30,1,30,0,189,55.0,14.0,3.0,1
3,0,2,0,134,3.0,0.0,2.0,0
17,8,9,2,18,17.0,38.0,12.0,1
30,42,30,4,296,393.0,145.0,4.0,1
30,11,30,1,99,174.0,54.0,20.0,0
30,28,30,4,162,376.0,108.0,21.0,1
30,3,30,2,57,103.0,13.0,16.0,0
30,5,30,2,95,128.0,37.0,21.0,1
30,16,30,16,57,54.0,11.0,12.0,1
30,46,30,19,42,100.0,89.0,12.0,0
20,3,11,0,550,20.0,4.0,2.0,0
30,15,30,6,399,371.0,74.0,4.0,1
19,3,12,0,50,19.0,20.0,1.0,0
20,1,9,0,119,20.0,4.0,2.0,1
30,3,30,1,512,161.0,2.0,2.0,1
22,3,17,1,37,22.0,6.0,6.0,0
30,1,30,0,417,289.0,15.0,8.0,1
30,4,30,0,298,141.0,19.0,4.0,0
30,13,30,4,219,119.0,30.0,9.0,1
30,6,27,2,51,47.0,28.0,5.0,0
12,2,12,2,29,12.0,9.0,4.0,0
30,3,30,2,654,701.0,29.0,4.0,1
30,11,30,7,148,470.0,7.0,3.0,1
30,1,30,0,189,37.0,3.0,2.0,0
30,0,16,0,87,34.0,4.0,2.0,0
30,0,30,0,249,50.0,3.0,2.0,0
30,8,30,3,248,272.0,12.0,3.0,1
30,3,30,2,639,1137.0,13.0,2.0,0
30,9,30,3,1496,1595.0,368.0,18.0,0
30,6,30,2,90,205.0,10.0,5.0,0
30,16,30,7,79,48.0,36.0,4.0,1
30,21,30,5,273,173.0,88.0,10.0,1
30,4,30,3,672,448.0,40.0,14.0,1
12,1,8,0,31,12.0,6.0,3.0,0
29,1,17,0,64,31.0,18.0,3.0,0
30,9,30,7,235,273.0,43.0,2.0,0
30,3,30,2,109,85.0,53.0,6.0,0
30,11,30,7,468,494.0,8.0,2.0,0
30,4,30,0,298,332.0,57.0,5.0,0
30,3,30,3,419,211.0,8.0,2.0,1
30,2,24,2,94,59.0,4.0,2.0,1
20,5,18,4,11,20.0,4.0,2.0,1
30,3,30,3,1662,1240.0,1.0,3.0,0
30,11,30,6,123,198.0,61.0,2.0,0
30,14,30,0,1059,963.0,24.0,3.0,1
30,15,30,5,224,181.0,24.0,2.0,0
30,10,30,1,622,521.0,18.0,17.0,0
30,76,30,8,254,407.0,202.0,15.0,1
30,10,30,9,5089,304.0,45.0,2.0,1
30,1,30,0,284,423.0,2.0,21.0,1
30,14,30,3,98,211.0,86.0,4.0,0
30,2,30,2,87,36.0,16.0,2.0,1
30,14,30,6,809,831.0,28.0,1.0,1
30,1,30,0,117,45.0,9.0,2.0,0
30,7,30,6,59,161.0,5.0,2.0,0
15,1,10,1,28,15.0,9.0,3.0,0
30,6,30,2,58,44.0,4.0,3.0,1
30,1,30,1,359,293.0,2.0,3.0,0
19,7,3,0,57,19.0,14.0,6.0,0
30,4,30,2,63,32.0,2.0,2.0,0
30,7,30,3,126,64.0,14.0,4.0,0
30,6,30,2,386,108.0,47.0,14.0,0
9,0,9,0,27,9.0,5.0,2.0,0
30,4,30,0,431,183.0,24.0,4.0,0
30,0,30,0,238,87.0,3.0,2.0,0
30,7,30,4,64,43.0,0.0,1.0,0
30,11,30,10,645,302.0,21.0,2.0,0
10,2,6,1,25,10.0,8.0,2.0,1
30,2,30,2,229,131.0,0.0,3.0,1
30,9,30,6,238,78.0,46.0,3.0,1
30,8,30,5,182,193.0,15.0,2.0,1
30,6,30,2,996,462.0,9.0,10.0,0
30,2,30,1,98,74.0,10.0,15.0,0
30,31,30,14,71,237.0,10.0,2.0,0
24,12,20,9,31,24.0,7.0,1.0,1
30,0,30,0,169,310.0,35.0,3.0,0
30,13,30,1,205,299.0,27.0,4.0,1
30,2,30,2,109,47.0,2.0,2.0,0
30,1,30,0,428,409.0,3.0,1.0,0
30,6,30,3,201,430.0,27.0,4.0,0
30,32,30,2,808,735.0,182.0,23.0,0
30,30,30,3,322,368.0,149.0,11.0,0
30,31,30,4,707,403.0,14.0,15.0,0
30,14,30,6,174,416.0,5.0,2.0,1
30,0,30,0,260,137.0,9.0,5.0,1
30,12,30,3,70,81.0,129.0,6.0,0
30,111,30,12,409,284.0,166.0,7.0,1
30,1,30,0,242,225.0,8.0,7.0,1
25,6,11,0,54,29.0,17.0,1.0,0
30,12,30,6,104,147.0,63.0,7.0,0
30,14,24,3,23,42.0,14.0,4.0,1
26,14,21,11,23,26.0,3.0,4.0,1
17,3,10,2,53,17.0,16.0,2.0,0
30,17,30,0,41,139.0,99.0,14.0,1
30,3,30,0,102,211.0,20.0,3.0,1
30,8,30,1,100,115.0,10.0,1.0,1
30,12,30,5,339,214.0,79.0,6.0,1
30,7,30,5,249,192.0,1.0,3.0,1
30,4,30,4,396,259.0,3.0,3.0,1
6,3,1,0,13,6.0,9.0,1.0,1
30,5,30,3,209,480.0,15.0,4.0,0
21,0,6,0,124,23.0,7.0,2.0,0
29,4,23,4,53,29.0,8.0,2.0,0
30,7,30,6,153,87.0,5.0,1.0,1
30,10,30,1,417,466.0,22.0,3.0,0
30,0,30,0,316,490.0,6.0,3.0,0
30,9,30,0,156,112.0,70.0,5.0,0
30,2,13,0,57,32.0,21.0,4.0,0
30,10,30,9,52,73.0,0.0,2.0,1
30,6,14,3,131,47.0,36.0,10.0,1
30,1,30,1,451,341.0,13.0,1.0,0
11,3,6,0,31,11.0,7.0,4.0,1
30,155,30,5,490,446.0,347.0,26.0,1
30,2,19,0,784,33.0,17.0,2.0,0
30,6,30,4,34,183.0,16.0,3.0,1
30,29,30,19,90,185.0,5.0,3.0,1
22,0,15,0,103,22.0,67.0,2.0,0
30,13,30,0,512,390.0,176.0,17.0,1
30,123,30,8,494,557.0,222.0,16.0,1
30,5,30,5,160,151.0,8.0,6.0,0
30,11,30,6,70,90.0,30.0,7.0,1
30,22,30,7,287,539.0,8.0,5.0,0
30,40,30,4,105,116.0,139.0,4.0,1
30,1,30,1,64,85.0,4.0,15.0,1
15,1,11,1,23,15.0,9.0,3.0,0
30,18,30,1,203,145.0,53.0,8.0,0
30,5,30,2,132,69.0,16.0,4.0,0
30,43,30,6,299,335.0,84.0,7.0,1
30,0,30,0,172,127.0,2.0,2.0,0
30,6,30,2,854,590.0,49.0,5.0,1
30,4,30,3,48,65.0,3.0,5.0,1
30,15,17,3,94,40.0,13.0,3.0,0
30,14,18,2,206,56.0,12.0,10.0,0
30,2,30,2,255,497.0,7.0,2.0,0
30,22,30,13,315,458.0,20.0,4.0,1
30,12,30,4,340,409.0,10.0,5.0,0
30,78,30,15,448,679.0,272.0,16.0,1
30,0,23,0,128,45.0,29.0,4.0,1
17,2,11,0,44,17.0,62.0,3.0,1
30,3,30,0,76,62.0,16.0,7.0,0
30,4,30,0,1727,355.0,53.0,68.0,1
30,7,30,2,217,57.0,5.0,67.0,0
30,2,30,0,221,68.0,6.0,40.0,0
30,6,30,1,302,557.0,119.0,11.0,1
30,1,30,0,201,325.0,41.0,5.0,1
30,0,30,0,204,383.0,51.0,11.0,1
30,0,30,0,476,327.0,17.0,6.0,0
27,6,27,6,42,27.0,7.0,4.0,0
30,50,30,20,30,79.0,145.0,5.0,1
16,4,14,3,20,17.0,0.0,1.0,0
30,4,30,1,1235,612.0,3.0,1.0,0
