Model,Feature Set,F1-score,Accuracy,ROC-AUC,Precision,Recall
RandomForest,repo_meta,0.554,0.589,0.572,0.571,0.541
RandomForest,repo_activity,0.538,0.579,0.558,0.545,0.541
RandomForest,dependency_only,0.569,0.632,0.705,0.639,0.521
RandomForest,all_but_text,0.799,0.829,0.924,0.879,0.738
RandomForest,full_features,0.819,0.849,0.923,0.905,0.760
XGBoost,repo_meta,0.542,0.569,0.549,0.535,0.551
XGBoost,repo_activity,0.489,0.550,0.536,0.509,0.478
XGBoost,dependency_only,0.598,0.637,0.661,0.635,0.574
XGBoost,all_but_text,1.000,1.000,1.000,1.000,1.000
XGBoost,full_features,1.000,1.000,1.000,1.000,1.000
SVM,repo_meta,0.372,0.589,0.607,0.667,0.261
SVM,repo_activity,0.494,0.564,0.579,0.541,0.458
SVM,dependency_only,0.602,0.608,0.694,0.574,0.636
SVM,all_but_text,0.360,0.584,0.607,0.656,0.251
SVM,full_features,0.360,0.584,0.607,0.656,0.251
NaiveBayes,repo_meta,0.477,0.613,0.597,0.686,0.374
NaiveBayes,repo_activity,0.521,0.584,0.622,0.568,0.521
NaiveBayes,dependency_only,0.522,0.623,0.607,0.661,0.438
NaiveBayes,all_but_text,0.267,0.539,0.582,0.692,0.273
NaiveBayes,full_features,0.267,0.539,0.582,0.692,0.273
LogisticRegression,repo_meta,0.559,0.589,0.590,0.569,0.552
LogisticRegression,repo_activity,0.592,0.589,0.640,0.549,0.645
LogisticRegression,dependency_only,0.626,0.652,0.663,0.638,0.615
LogisticRegression,all_but_text,0.613,0.618,0.654,0.594,0.636
LogisticRegression,full_features,0.609,0.613,0.649,0.586,0.636
